drugbank_id,name,type,cas_number,groups,synonyms
DB00001,Lepirudin,biotech,138068-37-8,approved,Hirudin variant-1|Lepirudin recombinant
DB00002,Cetuximab,biotech,205923-56-4,approved,"Cetuximab|Cétuximab|Cetuximabum|Immunoglobulin G 1 (human-mouse monoclonal C 225 gamma 1 - chain anti-human epidermal growt factor receptor), disulfide wit human-mouse monoclonal C 225 kappa - chain, dimer"
DB00003,Dornase alfa,biotech,143831-71-4,approved,"Deoxyribonuclease (human clone 18-1 protein moiety)|Dornase alfa, recombinant|Dornase alpha|Recombinant deoxyribonuclease (DNAse)"
DB00004,Denileukin diftitox,biotech,173146-27-5,approved|investigational,Diphtheria toxin precursor|DT|NAD(+--diphthamide ADP- ribosyltransferase)
DB00005,Etanercept,biotech,185243-69-0,approved|investigational,Etanercept-szzs|RHU TNFR:FC|RHU-TNFR:FC|TNFR-Immunoadhesin
DB00006,Bivalirudin,small molecule,128270-60-0,approved|investigational,Bivalirudina|Bivalirudinum|Hirulog
DB00007,Leuprolide,biotech,53714-56-0,approved|investigational,"(D-Leu(6),des-gly-NH2(10),pro-ethylamide(9))-gonadotropin-releasing hormone|L-Pyroglutamyl-L-histidyl-L-tryptophyl-L-seryl-L-tyrosyl-D-leucyl-L-leucyl-L-arginyl-L-proline ethylamide|Leuprorelin|Leuprorelina|Leuproreline|Leuprorelinum|PGlu-his-trp-ser-tyr-D-leu-leu-arg-pro-NHC2H5|PGlu-his-trp-ser-tyr-D-leu-leu-arg-pro-nhet"
DB00008,Peginterferon alfa-2a,biotech,198153-51-4,approved|investigational,Pegylated interferon alfa-2a|Pegylated interferon alpha2a
DB00009,Alteplase,biotech,105857-23-6,approved,"Alteplase (genetical recombination)|Alteplase, recombinant|Alteplase,recombinant|Plasminogen activator (human tissue-type protein moiety)|rt-PA|t-PA|t-plasminogen activator|Tissue plasminogen activator|Tissue plasminogen activator alteplase|Tissue plasminogen activator, recombinant|tPA"
DB00010,Sermorelin,biotech,86168-78-7,approved|withdrawn,
DB00011,Interferon alfa-n1,biotech,74899-72-2,approved|investigational,Interferon alpha-2|Interferon alpha-A|Interferon alpha-n1 (Ins)|LeIF A
DB00012,Darbepoetin alfa,biotech,209810-58-2,approved|investigational,"Darbepoetin|Darbepoetin alfa,recombinant"
DB00013,Urokinase,biotech,9039-53-6,approved|investigational|withdrawn,U-plasminogen activator|uPA|Urokinase-type plasminogen activator precursor
DB00014,Goserelin,small molecule,65807-02-5,approved,
DB00015,Reteplase,biotech,133652-38-7,approved,"Human t-PA (residues 1-3 and 176-527)|Reteplase, recombinant|Reteplase,recombinant"
DB00016,Erythropoietin,biotech,11096-26-7,approved,"E.P.O.|Epoetin alfa|Epoetin alfa rDNA|Epoetin alfa, recombinant|Epoetin beta|Epoetin beta rDNA|Epoetin epsilon|Epoetin gamma|Epoetin gamma rDNA|Epoetin kappa|Epoetin omega|Epoetin theta|Epoetin zeta|Epoetina dseta|Epoétine zêta|Epoetinum zeta|Erythropoiesis stimulating factor|Erythropoietin (human, recombinant)|Erythropoietin (recombinant human)|ESF|SH-polypeptide-72"
DB00017,Salmon Calcitonin,biotech,47931-85-1,approved|investigational,"Calcitonin (Salmon Synthetic)|Calcitonin Salmon|Calcitonin salmon recombinant|Calcitonin-salmon|Calcitonin, salmon|Recombinant salmon calcitonin|Salmon calcitonin"
DB00018,Interferon alfa-n3,biotech,,approved|investigational,
DB00019,Pegfilgrastim,biotech,208265-92-3,approved,Granulocyte colony-stimulating factor pegfilgrastim|Peg-filgrastim
DB00020,Sargramostim,biotech,123774-72-1,approved|investigational,GM-CSF
DB00021,Secretin,biotech,,approved|investigational,
DB00022,Peginterferon alfa-2b,biotech,215647-85-1,approved,
DB00023,Asparaginase,biotech,9015-68-3,approved,Asparaginase (E. coli)|Escherichia coli L-asparaginase|L-asparaginase|L-asparagine amidohydrolase
DB00024,Thyrotropin Alfa,biotech,194100-83-9,approved|vet_approved,rTSH|Thyroid stimulating hormone|Thyrotrophin-alfa|Thyrotrophin-alpha|Thyrotropin|Thyrotropin-a|Thyrotropin-alpha|Thytrophin|TSH
DB00025,"Antihemophilic factor, human recombinant",biotech,139076-62-3,approved|investigational,"Antihemophilic factor (recombinant)|Antihemophilic Factor (Recombinant), Plasma/Albumin-Free Method|Antihemophilic factor recombinant|Antihemophilic factor, recombinant|Antihemophilic factor,recombinant|Factor VIII (rDNA)|Factor VIII (Recombinant)|Factor VIII recombin|Factor VIII, recombinant|Human Factor VIII (Recombinant)|Human factor VIII recombinant|rAHF|Recombinant antihemophilic factor VIII"
