drug_id,drug_name,category,gene_name,hgnc_id,genatlas,polypeptide_name,uniprot_id
DB00001,Lepirudin,target,F2,HGNC:3535,F2,,P00734
DB00002,Cetuximab,target,EGFR,HGNC:3236,EGFR,,P00533
DB00002,Cetuximab,target,FCGR3B,HGNC:3620,FCGR3B,,O75015
DB00002,Cetuximab,target,C1R,HGNC:1246,C1R,,P00736
DB00002,Cetuximab,target,C1QA,HGNC:1241,C1QA,,P02745
DB00002,Cetuximab,target,C1QB,HGNC:1242,C1QB,,P02746
DB00002,Cetuximab,target,C1QC,HGNC:1245,C1QC,,P02747
DB00002,Cetuximab,target,FCGR3A,HGNC:3619,FCGR3A,,P08637
DB00002,Cetuximab,target,C1S,HGNC:1247,C1S,,P09871
DB00002,Cetuximab,target,FCGR1A,HGNC:3613,FCGR1A,,P12314
DB00002,Cetuximab,target,FCGR2A,HGNC:3616,FCGR2A,,P12318
DB00002,Cetuximab,target,FCGR2B,HGNC:3618,FCGR2B,,P31994
DB00002,Cetuximab,target,FCGR2C,HGNC:15626,FCGR2C,,P31995
DB00004,Denileukin diftitox,target,IL2RA,HGNC:6008,IL2RA,,P01589
DB00004,Denileukin diftitox,target,IL2RB,HGNC:6009,IL2RB,,P14784
DB00004,Denileukin diftitox,target,IL2RG,HGNC:6010,IL2RG,,P31785
DB00005,Etanercept,target,TNF,HGNC:11892,TNF,,P01375
DB00005,Etanercept,target,TNFRSF1B,HGNC:11917,TNFRSF1B,,P20333
DB00005,Etanercept,target,FCGR1A,HGNC:3613,FCGR1A,,P12314
DB00005,Etanercept,target,FCGR3A,HGNC:3619,FCGR3A,,P08637
DB00005,Etanercept,target,FCGR2A,HGNC:3616,FCGR2A,,P12318
DB00005,Etanercept,target,FCGR2B,HGNC:3618,FCGR2B,,P31994
DB00005,Etanercept,target,FCGR2C,HGNC:15626,FCGR2C,,P31995
DB00005,Etanercept,target,LTA,HGNC:6709,LTA,,P01374
DB00005,Etanercept,target,FCGR3B,HGNC:3620,FCGR3B,,O75015
DB00005,Etanercept,target,C1S,HGNC:1247,C1S,,P09871
DB00005,Etanercept,target,C1R,HGNC:1246,C1R,,P00736
DB00005,Etanercept,target,C1QA,HGNC:1241,C1QA,,P02745
DB00005,Etanercept,target,C1QB,HGNC:1242,C1QB,,P02746
DB00005,Etanercept,target,C1QC,HGNC:1245,C1QC,,P02747
DB00005,Etanercept,enzyme,PTGS2,HGNC:9605,PTGS2,,P35354
DB00006,Bivalirudin,target,F2,HGNC:3535,F2,,P00734
DB00006,Bivalirudin,enzyme,MPO,HGNC:7218,MPO,,P05164
DB00007,Leuprolide,target,GNRHR,HGNC:4421,GNRHR,,P30968
DB00008,Peginterferon alfa-2a,target,IFNAR2,HGNC:5433,IFNAR2,,P48551
DB00008,Peginterferon alfa-2a,target,IFNAR1,HGNC:5432,IFNAR1,,P17181
DB00008,Peginterferon alfa-2a,enzyme,CYP1A2,HGNC:2596,CYP1A2,,P05177
DB00009,Alteplase,target,PLG,HGNC:9071,PLG,,P00747
DB00009,Alteplase,target,FGA,HGNC:3661,FGA,,P02671
DB00009,Alteplase,target,PLAUR,HGNC:9053,PLAUR,,Q03405
DB00009,Alteplase,target,SERPINE1,HGNC:8583,SERPINE1,,P05121
DB00010,Sermorelin,target,GHRHR,HGNC:4266,GHRHR,,Q02643
DB00011,Interferon alfa-n1,target,IFNAR2,HGNC:5433,IFNAR2,,P48551
DB00011,Interferon alfa-n1,target,IFNAR1,HGNC:5432,IFNAR1,,P17181
DB00012,Darbepoetin alfa,target,EPOR,HGNC:3416,EPOR,,P19235
DB00013,Urokinase,target,PLG,HGNC:9071,PLG,,P00747
DB00013,Urokinase,target,PLAUR,HGNC:9053,PLAUR,,Q03405
DB00013,Urokinase,target,PLAU,HGNC:9052,PLAU,,P00749
DB00013,Urokinase,target,PLAT,HGNC:9051,PLAT,,P00750
DB00013,Urokinase,target,SERPINE1,HGNC:8583,SERPINE1,,P05121
DB00013,Urokinase,target,SERPINB2,HGNC:8584,SERPINB2,,P05120
DB00013,Urokinase,target,SERPINA5,HGNC:8723,SERPINA5,,P05154
DB00013,Urokinase,target,LRP2,HGNC:6694,LRP2,,P98164
DB00013,Urokinase,target,ST14,HGNC:11344,ST14,,Q9Y5Y6
DB00013,Urokinase,target,NID1,HGNC:7821,NID1,,P14543
DB00014,Goserelin,target,LHCGR,HGNC:6585,LHCGR,,P22888
DB00014,Goserelin,target,GNRHR,HGNC:4421,GNRHR,,P30968
